State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ratio,literacy_rate
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,839,67975,94,55
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,1926,181510,89,59
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,6163,314490,94,77
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,9438,512492,95,77
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,44456,92,57
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,589477,92,67
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,2932,227025,98,74
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,5614,402052,91,66
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,4767,423036,93,72
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,8239,418666,96,71
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,6065,315332,94,63
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,2866,239981,99,75
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,1221,159114,94,67
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,14297,720791,92,68
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,3791,288895,93,61
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,22269,770005,95,72
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,6217,381722,92,67
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,57964,917626,95,78
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,7548,488748,94,65
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,2579,186202,97,54
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,45039,904710,93,71
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,3209,240042,92,68
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,3982,272486,94,63
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,235018,1925019,91,76
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,3342,297308,99,63
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,38570,547206,95,73
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,7752,367352,112,74
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,13212,485126,96,72
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,14093,562653,98,74
